"indicator_id","region_id","date","value"
"ZSFH","99997","2000-12-31","113642"
"ZSFH","99997","2000-11-30","112349"
"ZSFH","99997","2000-10-31","112007"
"ZSFH","99997","2000-09-30","111375"
"ZSFH","99997","2000-08-31","111716"
"ZSFH","99997","2000-07-31","111671"
"ZSFH","99997","2000-06-30","111842"
"ZSFH","99997","2000-05-31","110859"
"ZSFH","99997","2000-04-30","109868"
"ZSFH","99997","2000-03-31","108534"
"ZSFH","99997","2000-02-29","109229"
"ZSFH","99997","2000-01-31","110578"
"ZSFH","99995","2000-12-31","179329"
"ZSFH","99995","2000-11-30","178645"
"ZSFH","99995","2000-10-31","177474"
"ZSFH","99995","2000-09-30","176626"
"ZSFH","99995","2000-08-31","178153"
"ZSFH","99995","2000-07-31","179558"
"ZSFH","99995","2000-06-30","179856"
"ZSFH","99995","2000-05-31","177372"
"ZSFH","99995","2000-04-30","175639"
"ZSFH","99995","2000-03-31","175085"
"ZSFH","99995","2000-02-29","175208"
"ZSFH","99995","2000-01-31","173918"
"ZSFH","9999","2000-12-31","84292.7291851217"
"ZSFH","9999","2000-11-30","83834.414945269"
"ZSFH","9999","2000-10-31","83468.5747354435"
"ZSFH","9999","2000-09-30","82950.0445785107"
"ZSFH","9999","2000-08-31","82259.9936716176"
"ZSFH","9999","2000-07-31","81620.9070208715"
"ZSFH","9999","2000-06-30","81231.6089054535"
"ZSFH","9999","2000-05-31","81184.2063003544"
"ZSFH","9999","2000-04-30","80423.5788550768"
"ZSFH","9999","2000-03-31","79631.8839562245"
"ZSFH","9999","2000-02-29","78859.3062436716"
"ZSFH","9999","2000-01-31","78794.0366178092"
"ZSFH","99972","2000-12-31","67359"
"ZSFH","99972","2000-11-30","66168"
"ZSFH","99972","2000-10-31","65713"
"ZSFH","99972","2000-09-30","65263"
"ZSFH","99972","2000-08-31","65327"
"ZSFH","99972","2000-07-31","64906"
"ZSFH","99972","2000-06-30","64508"
"ZSFH","99972","2000-05-31","64437"
"ZSFH","99972","2000-04-30","64480"
"ZSFH","99972","2000-03-31","64457"
"ZSFH","99972","2000-02-29","63760"
"ZSFH","99972","2000-01-31","63311"
"ZSFH","99971","2000-12-31","88878"
"ZSFH","99971","2000-11-30","88041"
"ZSFH","99971","2000-10-31","88141"
"ZSFH","99971","2000-09-30","87764"
"ZSFH","99971","2000-08-31","87684"
"ZSFH","99971","2000-07-31","87252"
"ZSFH","99971","2000-06-30","86926"
"ZSFH","99971","2000-05-31","86355"
"ZSFH","99971","2000-04-30","85881"
"ZSFH","99971","2000-03-31","85297"
"ZSFH","99971","2000-02-29","84658"
"ZSFH","99971","2000-01-31","84387"
"ZSFH","99968","2000-12-31","144297"
"ZSFH","99968","2000-11-30","143653"
"ZSFH","99968","2000-10-31","143146"
"ZSFH","99968","2000-09-30","142901"
"ZSFH","99968","2000-08-31","142693"
"ZSFH","99968","2000-07-31","142569"
"ZSFH","99968","2000-06-30","142199"
"ZSFH","99968","2000-05-31","141771"
"ZSFH","99968","2000-04-30","141245"
"ZSFH","99968","2000-03-31","140845"
"ZSFH","99968","2000-02-29","140192"
"ZSFH","99968","2000-01-31","139433"
"ZSFH","99965","2000-12-31","210942.985535426"
"ZSFH","99965","2000-11-30","210354.978054881"
"ZSFH","99965","2000-10-31","210069.078232798"
"ZSFH","99965","2000-09-30","209205.453617455"
"ZSFH","99965","2000-08-31","207942.958899955"
"ZSFH","99965","2000-07-31","206552.985292651"
"ZSFH","99965","2000-06-30","205526.637094223"
"ZSFH","99965","2000-05-31","204958.873566236"
"ZSFH","99965","2000-04-30","204651.466935117"
"ZSFH","99965","2000-03-31","204507.206441063"
"ZSFH","99965","2000-02-29","204446.766580654"
"ZSFH","99965","2000-01-31","204514.149741704"
"ZSFH","99964","2000-12-31","210223.610057058"
"ZSFH","99964","2000-11-30","209603.376539176"
"ZSFH","99964","2000-10-31","209450.253695868"
"ZSFH","99964","2000-09-30","208640.955012256"
"ZSFH","99964","2000-08-31","207597.508455771"
"ZSFH","99964","2000-07-31","206598.117322681"
"ZSFH","99964","2000-06-30","206345.644370902"
"ZSFH","99964","2000-05-31","206328.433051112"
"ZSFH","99964","2000-04-30","206369.721047979"
"ZSFH","99964","2000-03-31","206010.750404034"
"ZSFH","99964","2000-02-29","205860.399982392"
"ZSFH","99964","2000-01-31","205613.509290503"
"ZSFH","99963","2000-12-31","164787.831514661"
"ZSFH","99963","2000-11-30","164307.321578543"
"ZSFH","99963","2000-10-31","164071.51246921"
"ZSFH","99963","2000-09-30","163326.839189422"
"ZSFH","99963","2000-08-31","162332.656846212"
"ZSFH","99963","2000-07-31","161269.010707773"
"ZSFH","99963","2000-06-30","160661.543248027"
"ZSFH","99963","2000-05-31","160498.861096764"
"ZSFH","99963","2000-04-30","160458.095779356"
"ZSFH","99963","2000-03-31","160277.345331359"
"ZSFH","99963","2000-02-29","160091.927431055"
"ZSFH","99963","2000-01-31","159888.783711591"
"ZSFH","99962","2000-12-31","192995.484827815"
"ZSFH","99962","2000-11-30","192060.530819229"
"ZSFH","99962","2000-10-31","191613.719272555"
"ZSFH","99962","2000-09-30","190738.802713342"
"ZSFH","99962","2000-08-31","189788.992986698"
"ZSFH","99962","2000-07-31","188683.434296226"
"ZSFH","99962","2000-06-30","188020.040826688"
"ZSFH","99962","2000-05-31","187615.553769229"
"ZSFH","99962","2000-04-30","187483.329564812"
"ZSFH","99962","2000-03-31","187287.555286679"
"ZSFH","99962","2000-02-29","187211.231896251"
"ZSFH","99962","2000-01-31","187026.479495511"
"ZSFH","99961","2000-12-31","161924.193003866"
"ZSFH","99961","2000-11-30","161505.497475602"
"ZSFH","99961","2000-10-31","161373.692082499"
"ZSFH","99961","2000-09-30","160719.099072758"
"ZSFH","99961","2000-08-31","159806.030636988"
"ZSFH","99961","2000-07-31","158838.189322411"
"ZSFH","99961","2000-06-30","158334.574250936"
"ZSFH","99961","2000-05-31","158140.666162441"
"ZSFH","99961","2000-04-30","158070.002724482"
"ZSFH","99961","2000-03-31","157845.137768761"
"ZSFH","99961","2000-02-29","157707.259389412"
"ZSFH","99961","2000-01-31","157557.234400876"
"ZSFH","99960","2000-12-31","198947.4543391"
"ZSFH","99960","2000-11-30","198892.585206625"
"ZSFH","99960","2000-10-31","199434.989448395"
"ZSFH","99960","2000-09-30","199520.564668329"
"ZSFH","99960","2000-08-31","198509.214714485"
"ZSFH","99960","2000-07-31","196906.803110014"
"ZSFH","99960","2000-06-30","196117.678496212"
"ZSFH","99960","2000-05-31","195619.470219375"
"ZSFH","99960","2000-04-30","195729.017998938"
"ZSFH","99960","2000-03-31","195454.221804795"
"ZSFH","99960","2000-02-29","195761.350611639"
"ZSFH","99960","2000-01-31","195582.458536922"
"ZSFH","99959","2000-12-31","174546.55407106"
"ZSFH","99959","2000-11-30","175705.051652765"
"ZSFH","99959","2000-10-31","177331.371995454"
"ZSFH","99959","2000-09-30","177869.216101808"
"ZSFH","99959","2000-08-31","176878.807860708"
"ZSFH","99959","2000-07-31","175715.664255757"
"ZSFH","99959","2000-06-30","175381.403379194"
"ZSFH","99959","2000-05-31","174962.874476792"
"ZSFH","99959","2000-04-30","174368.155047139"
"ZSFH","99959","2000-03-31","173061.963601975"
"ZSFH","99959","2000-02-29","172960.180115763"
"ZSFH","99959","2000-01-31","172608.467788657"
